"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"87",789203.7356,1426248.601,2,11004,10581,11027,11824,16669,17959,13636,5179
"131",780629.647,1412656.65,3,9943,9129,8438,7678,14623,11026,7870,5252
"144",787428.3525,1430856.555,3,10017,9279,8849,8065,17020,11362,8098,5178
"61",795304.3382,1449486.554,1,10031,9391,9057,9484,14353,15133,11264,5118
"116",778893.1735,1437645.243,2,11807,11565,11281,12006,13578,14900,12138,5240
"200",780527.263,1448744.754,4,10225,9555,9115,8294,11892,8443,6893,5173
"157",804361.8558,1431702.813,3,10351,9865,9769,10578,15471,17785,13520,5136
"59",777856.6789,1436232.859,1,11169,10581,10119,10886,12609,16932,14896,5240
"147",788226.8662,1429137.781,3,10060,9274,8549,7869,12614,10364,7879,5161
"39",780275.1663,1442822.918,1,10504,9872,9619,10164,13101,14060,11527,5211
"215",789786.1855,1431240.071,4,10367,9668,9347,8185,8243,6040,5697,5227
"141",779190.1739,1415210.939,3,9977,9147,8363,7618,13758,10176,7558,5214
"193",769452.2719,1454818.136,4,10314,9639,9165,9030,11078,10889,8864,5118
"15",759676.4355,1423025.551,1,10500,9850,9342,9713,13485,15405,11870,5226
"103",771263.4215,1440666.753,2,11313,10858,10027,9585,11987,13801,13916,5207
"180",791066.4238,1451973.602,3,10133,9451,8944,8542,14466,12291,8804,5179
"225",780421.7391,1443756.655,4,10296,9638,9112,8161,7443,6020,5634,5179
"102",772091.9774,1440007.747,2,11527,11024,10663,10629,12752,12856,11814,5209
"30",798205.8833,1423294.272,1,10263,9706,9491,10133,15126,17002,13253,5141
"12",764986.8708,1451311.617,1,10458,9767,9354,9990,14476,16141,12444,5136
"160",769109.0877,1456511.642,3,10221,9448,8945,8193,17378,12134,8424,5114
"27",800278.8725,1421093.32,1,10449,9928,9904,11179,15194,17203,14236,5128
"213",790239.8845,1431447.195,4,10411,9697,9310,8189,8226,6068,5700,5199
"34",810122.3722,1430751.275,1,9919,9214,9015,8846,16361,14294,10306,5113
"65",782604.0801,1429965.906,2,11297,10749,10313,10345,11259,11392,10756,5242
"18",765745.0474,1422686.451,1,10384,9729,9290,9660,13834,15704,12463,5265
"77",789485.2527,1440612.369,2,11204,10713,10556,10774,12292,12085,11190,5207
"28",798576.9739,1421054.931,1,10286,9673,9378,10081,14349,15862,12461,5133
"107",774283.3317,1442335.861,2,11153,10653,9882,9732,11444,11813,10907,5151
"120",784245.1966,1433172.961,2,11290,10861,10809,11309,14303,14691,12161,5226
"101",774225.7487,1443510.715,2,11716,11183,10752,10928,13196,12639,11423,5199
"138",779290.4357,1415621.535,3,9980,9154,8394,7722,13083,10144,7623,5245
"96",782588.0849,1425839.122,2,11596,11033,10760,10850,12848,11785,10401,5239
"91",774424.0903,1428462.349,2,11208,10650,10500,10480,13254,13196,11984,5299
"224",795971.0832,1441601.06,4,10003,9268,8476,7692,7362,5695,5403,5090
"169",773582.6742,1444427.707,3,10663,9912,9155,8653,12685,11139,8639,5181
"145",787304.2188,1433162.577,3,10778,10270,10280,9861,12354,10865,8505,5284
"67",785339.2742,1427086.754,2,11432,10917,10527,10551,11868,11302,10288,5228
"36",809751.2816,1428179.232,1,10019,9352,9202,9325,16102,14331,10702,5116
"140",778256.7842,1415559.468,3,9989,9186,8419,7688,13282,10177,7574,5271
"187",781473.1455,1451177.509,4,10166,9373,8677,7821,7468,6001,5624,5190
"117",796440.0036,1439827,2,11233,10933,11059,11742,13527,15337,12757,5115
"32",800969.8689,1422846.404,1,10343,9750,9559,10020,14428,14566,12022,5134
"203",781555.176,1450783.357,4,10145,9347,8575,7761,7441,6016,5630,5165
"168",763699.7245,1447311.428,3,10115,9360,8687,7948,7626,6076,5620,5139
