X,Y,Class,2015-12-_1,2015-12-_2,2015-12-_3,2015-12-_4,2015-12-_5,2015-12-_6,2015-12-_7,2015-12-_8
767854.8258,1441894.391,1,9735,9129,8956,9134,14231,14725,11317,5401
763393.7402,1440594.774,1,10013,9481,9503,10058,15429,16174,12591,5503
763380.944,1442667.763,1,9703,9071,8636,8876,14421,14322,10478,5460
766580.0014,1439558.28,1,9787,9288,9033,9132,15318,14586,11230,5353
760341.8394,1437530.077,1,10442,10089,10949,12957,16616,19817,17189,5374
757577.8538,1437146.19,1,9513,8937,8525,8707,14567,13743,10267,5328
759055.8183,1451356.403,1,10590,10049,10293,11354,16052,16502,13754,5814
759650.843,1451554.745,1,10569,10071,10204,11771,15588,17855,14713,5853
760578.5697,1451234.839,1,9896,9265,9029,9398,14329,14291,11186,5594
757417.9009,1450217.539,1,12415,11910,12044,13081,17074,16717,13703,7188
767738.0602,1451260.432,1,10589,9996,9586,9776,14775,14769,11541,6022
764986.8708,1451311.617,1,9874,9285,9238,10110,15259,15559,12138,5691
771986.4085,1451951.428,1,10684,10107,9874,10306,15761,15723,11997,6084
791667.0099,1413940.228,1,9393,8759,8719,8605,14794,13021,10088,5069
759676.4355,1423025.551,1,9388,8796,8505,8885,13002,14633,11630,5143
763748.8356,1421880.288,1,9524,9015,9078,9933,15080,17643,13386,5135
763281.7732,1420946.163,1,9325,8758,8658,9151,14625,15651,11725,5111
765745.0474,1422686.451,1,9592,9005,8981,9733,14513,15999,12650,5235
776909.7579,1416953.74,1,9263,8626,8358,8378,14495,14851,10890,5150
776986.5353,1415699.709,1,9296,8775,8681,9236,15055,16108,12270,5130
776141.9841,1413268.426,1,9304,8654,8776,8874,15454,14791,11278,5051
767670.88,1415392.6,1,9648,8994,8802,8748,15684,13757,10338,5396
769692.6843,1423403.04,1,9435,8746,8447,8447,14703,13845,10414,5322
775396.6037,1412068.779,1,9297,8714,8617,8879,15065,15061,12071,5082
769657.4947,1417580.755,1,9605,9009,8801,9223,14650,15354,12156,5291
803247.5978,1427081.956,1,9401,8910,9035,9911,14796,17269,13164,5041
800278.8725,1421093.32,1,9863,9536,9828,11110,15230,16898,13555,5041
798576.9739,1421054.931,1,9311,8777,8717,9530,13988,15598,12499,5048
799664.6535,1424317.97,1,9294,8727,8802,9243,15336,14888,11695,5057
798205.8833,1423294.272,1,9363,8862,8917,9707,14335,16159,12983,5064
798359.438,1422692.849,1,8961,8333,8002,8052,13415,12913,9467,5063
800969.8689,1422846.404,1,9455,8924,9015,9970,15322,15353,12505,5053
794891.6598,1425021.763,1,9185,8600,8649,8989,15319,14942,11291,5066
810122.3722,1430751.275,1,8853,8215,8306,7379,18624,12264,8659,5047
812195.3615,1431723.788,1,9021,8386,8200,8550,14286,13273,10303,5055
809751.2816,1428179.232,1,9005,8388,8724,8470,17969,13594,9916,5053
804831.1312,1436669.531,1,9364,8871,9014,9561,14715,16348,12759,5057
774339.3152,1440014.145,1,11199,10906,11066,11658,13643,14075,12856,5427
780275.1663,1442822.918,1,9645,9078,8930,9777,13224,13889,11281,5204
779046.7283,1447122.451,1,9692,9091,8815,8922,14584,13297,10254,5353
775866.8652,1446943.304,1,10400,9963,10785,14015,16885,21740,16643,5393
791139.1654,1455107.298,1,9526,8958,8957,9781,14924,16156,12613,5244
794306.2323,1455286.446,1,9364,8743,8488,8504,14455,13620,10201,5334
800985.8642,1427403.461,1,9060,8411,8252,8404,14648,13815,10468,5045
797019.033,1427646.589,1,9389,8865,9297,11518,15260,18934,15709,5063
795205.1674,1452656.82,1,9683,9308,9506,10349,16102,17958,13975,5149
804428.05,1442829.316,1,9351,8854,9267,10696,15788,17140,12915,5060
780319.9531,1455395.214,1,9329,8699,8600,8949,14344,13611,10662,5200
787153.1398,1455548.768,1,10305,9623,9390,9935,14180,14871,11624,5784
786660.485,1453888.457,1,9925,9374,9656,10255,16506,16604,12375,5390
786378.9679,1453299.831,1,10133,9552,9895,10699,13309,14110,11387,5487
764730.9462,1432982.617,1,9801,9203,9105,9511,15380,15028,11529,5393
766656.7788,1433712.002,1,10293,9967,10264,12060,15696,19492,15476,5329
766272.8919,1431997.307,1,9659,9032,8932,9009,14341,13252,10583,5399
765172.4162,1429809.152,1,9664,9097,9230,10367,14471,16350,12978,5301
795534.6703,1430231.428,1,9029,8368,8410,7889,16258,12199,8940,5062
795137.9872,1430384.982,1,9299,8752,8827,9304,15421,15630,11880,5087
794133.4831,1430701.689,1,9145,8486,8383,8886,14949,14469,10998,5075
777856.6789,1436232.859,1,10190,9661,9791,11770,13658,18557,16349,5223
782280.9753,1436757.505,1,10157,9805,11040,13639,17073,19065,17386,5179
795304.3382,1449486.554,1,9230,8626,8560,9072,14764,14877,11124,5131
792425.1865,1449153.852,1,9567,9046,9179,9801,15883,14858,11373,5194
798145.1012,1450267.124,1,9404,8920,8877,9395,14433,15906,12459,5084
776628.2408,1429210.928,2,10597,10526,9696,10342,10784,10802,9850,5132
782604.0801,1429965.906,2,10501,10027,9711,9889,10903,11363,10832,5118
780850.9967,1427406.66,2,10711,10328,10084,10253,11693,11562,10626,5111
785339.2742,1427086.754,2,10333,9930,9692,9933,11299,11185,10245,5106
786983.5898,1432921.835,2,10402,10117,10107,10320,11794,11272,10611,5092
790656.1077,1431597.425,2,11063,11029,12619,14218,17507,18669,14445,5169
790444.9699,1430720.883,2,10503,10056,10180,10494,11197,11137,10532,5099
791347.1041,1429812.351,2,10722,10347,9434,9307,10554,10185,9213,5166
791775.7778,1435295.536,2,10478,10126,10058,10463,12436,11828,11052,5104
791353.5022,1440573.98,2,10256,9784,9887,10202,12449,13142,11894,5171
793592.8424,1439319.95,2,10305,9846,9838,10059,12415,11656,10431,5078
793503.2688,1438321.844,2,10299,9895,9684,9985,11476,12027,11176,5063
786260.6028,1439652.652,2,10978,10651,10663,10973,12412,12979,12395,5143
789485.2527,1440612.369,2,10872,10454,10483,10747,12536,11931,11013,5383
782971.9717,1439780.614,2,10756,10364,10495,10802,11825,13116,12353,5164
784098.04,1442058.343,2,10764,10493,10571,11233,12248,12638,11701,5143
781692.3488,1441776.826,2,10374,9927,9646,9800,11875,11537,10540,5173
795601.8505,1448027.784,2,11301,11066,11522,12539,15408,16751,12842,5109
798020.3379,1446159.535,2,10852,10642,11122,11517,14959,13619,11779,5098
778646.8461,1453619.737,2,13526,13769,13197,13205,15974,18057,15381,5226
776573.8569,1447720.675,2,10370,9995,10016,10655,14835,15097,12236,5416
785300.8856,1425416.846,2,10459,10077,10209,10395,13212,12490,10931,5106
788103.2599,1423497.412,2,10426,10095,10820,11773,14555,15273,13859,5081
789203.7356,1426248.601,2,10237,10048,10438,11322,17162,19007,14825,5082
785876.7159,1428014.481,2,10812,10455,10256,10576,11673,12280,11680,5109
789472.4565,1428398.368,2,10844,10916,12283,14428,18501,22037,17854,5077
790752.0794,1428347.183,2,10673,10298,10317,10827,11608,11514,10658,5070
774424.0903,1428462.349,2,10517,10129,10024,9977,13499,13122,11994,5221
776445.8946,1426862.82,2,10599,10262,10192,10596,12770,13564,12725,5169
780828.6033,1429540.431,2,10277,9789,9397,9533,10692,10946,10364,5155
778723.6235,1431063.183,2,10626,10202,9864,9886,10894,11102,10637,5134
784936.193,1428206.424,2,10194,9788,9492,9666,11341,11071,10084,5134
782588.0849,1425839.122,2,10671,10614,10258,10995,11424,11510,9804,5104
782959.1755,1430855.244,2,10337,10023,9661,10071,10641,11087,10293,5143
778007.0346,1420835.796,2,10546,10126,10584,10672,14911,15027,13761,5123
795640.2392,1435289.137,2,11532,11540,12018,12798,13919,13721,12937,5058
771768.8726,1444425.646,2,10707,10167,9980,10254,12528,12054,10831,5647
774225.7487,1443510.715,2,10428,9980,10164,10883,13453,13052,11774,5372
772091.9774,1440007.747,2,11263,10853,10298,10377,13332,13023,11897,5523
771263.4215,1440666.753,2,11853,11216,10269,9829,14103,14566,13458,5507
773768.2835,1440932.275,2,11548,11079,10085,9799,14414,15228,13840,5498
772850.154,1441328.958,2,10867,10641,9575,9330,13282,13993,12507,5457
772760.5804,1440743.53,2,11118,10814,9801,9845,12884,13129,12199,5497
774283.3317,1442335.861,2,10728,10382,9626,9533,11762,12106,11907,5347
773362.0032,1442499.013,2,11105,10590,9166,8707,13457,13680,11971,5436
776002.0253,1432857.054,2,11277,11352,9018,8516,12518,14425,12187,5170
776211.5636,1433334.513,2,11357,11501,10530,10708,14080,13007,11577,5149
773952.2293,1431538.243,2,9923,9292,8438,7954,11148,12536,12987,5181
781578.7822,1433534.454,2,11745,11361,9912,9807,12512,12909,13385,5198
781842.7045,1433403.293,2,10383,9620,8860,8122,13328,11752,10148,5197
780374.3371,1434209.456,2,10821,10415,9114,8969,11430,11053,10014,5187
778035.8261,1438160.292,2,11031,10475,9242,8883,11300,13005,11902,5275
778893.1735,1437645.243,2,12755,12542,13364,13658,15132,15338,13193,5305
796440.0036,1439827,2,10569,10505,10508,11190,12366,14653,12141,5089
787284.3012,1450761.379,2,11694,11833,12387,11749,11466,10585,9820,5271
788359.1845,1450831.758,2,10677,10067,10067,9589,10401,10098,10281,5135
784245.1966,1433172.961,2,10695,10470,11156,11652,15393,15359,12733,5174
790040.2892,1418367.723,2,10599,10098,9201,8983,11443,11266,10770,5051
791804.5693,1418027.024,2,9909,9360,8039,7420,12333,10926,9201,5036
782844.0094,1420004.041,2,14055,13755,10867,9613,15810,17077,16482,5081
781158.3061,1452120.178,2,11982,11259,9073,8753,13950,14232,12913,5316
782159.811,1452471.875,2,10213,9773,10045,10637,15460,16112,12968,5305
763864.4403,1413927.826,3,9120,8382,8065,6991,17384,9580,7098,5183
763270.031,1413834.726,3,9010,8223,7618,6655,8753,6191,5632,5120
778882.2269,1413506.488,3,8894,8111,7555,6832,14637,10770,7731,5085
778743.7701,1412298.572,3,8740,7922,7240,6465,13065,9186,6919,5096
779211.6585,1412494.321,3,8714,7905,7287,6499,14354,9643,6981,5092
780629.647,1412656.65,3,8753,7970,7497,6633,15292,10483,7439,5089
780462.544,1413420.549,3,8786,8011,7379,6656,13560,9730,7066,5079
781250.3153,1412494.321,3,8741,7932,7379,6568,14504,9891,7189,5051
780768.1038,1414680.984,3,8751,7970,7452,6652,14080,10110,7345,5071
778018.0656,1411147.948,3,8642,7836,7101,6344,12277,8761,6670,5064
777929.7397,1412207.859,3,8762,7955,7320,6573,14213,9809,7154,5092
776795.8264,1414843.312,3,8744,7985,7652,6881,6090,5457,5305,5102
779290.4357,1415621.535,3,8777,8001,7374,6733,13153,9874,7462,5102
779137.6558,1415664.504,3,8912,8186,7757,7132,14812,11648,8341,5099
778256.7842,1415559.468,3,8795,7988,7419,6597,13685,9816,7268,5117
779190.1739,1415210.939,3,8800,7995,7401,6640,14245,9915,7246,5086
788564.653,1431467.675,3,9021,8291,8346,7108,21844,10876,7434,5073
789242.6138,1431945.112,3,9033,8313,7929,6918,15980,9070,6734,5075
787428.3525,1430856.555,3,9020,8305,8146,7138,18174,11003,7713,5081
787304.2188,1433162.577,3,9867,9523,10201,10018,10928,9804,8400,5087
786505.7051,1429553.152,3,8965,8211,7759,6850,17655,9757,7081,5113
788226.8662,1429137.781,3,8910,8116,7521,6773,12808,10066,7593,5088
788207.7687,1428650.795,3,8903,8120,7615,6883,13177,10258,7683,5073
795727.4043,1432514.456,3,9094,8389,8185,7347,17258,11066,7876,5075
795701.1453,1433326.099,3,8899,8135,7565,6877,15051,9708,7240,5069
799864.3975,1434233.23,3,8956,8265,8225,7224,20604,11225,7828,5057
799157.7905,1433593.464,3,9008,8338,8318,7538,18743,11870,8345,5073
801621.3663,1435245.397,3,8935,8251,8179,7121,21718,11235,7716,5050
803340.1402,1432829.564,3,8974,8307,8009,7500,14754,11726,8968,5049
804791.5492,1432447.615,3,8962,8289,8107,7831,14445,12781,9215,5047
