X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
767854.8258,1441894.391,1,10367,9717,9254,9423,13365,15195,11692,5145
763393.7402,1440594.774,1,10448,9862,9622,10289,14905,17071,13227,5207
763380.944,1442667.763,1,10249,9585,9019,9309,13821,14459,10491,5221
766580.0014,1439558.28,1,10501,9895,9550,10083,14546,16299,12306,5219
760341.8394,1437530.077,1,10770,10293,10619,12269,15833,19594,16849,5178
757577.8538,1437146.19,1,10190,9549,8956,9077,13736,13601,10432,5173
759055.8183,1451356.403,1,10603,10057,9975,11044,14939,17092,13767,5142
759650.843,1451554.745,1,10461,9935,9966,11315,15227,18307,15104,5119
760578.5697,1451234.839,1,10194,9540,9078,9551,13819,15371,11946,5141
757417.9009,1450217.539,1,10814,10265,10299,11744,14745,18346,14890,5123
767738.0602,1451260.432,1,10590,9957,9395,9605,13761,15492,11951,5125
764986.8708,1451311.617,1,10458,9767,9354,9990,14476,16141,12444,5136
771986.4085,1451951.428,1,10446,9803,9200,9521,13352,15744,12279,5113
791667.0099,1413940.228,1,10284,9685,9391,9442,14037,13797,11061,5183
759676.4355,1423025.551,1,10500,9850,9342,9713,13485,15405,11870,5226
763748.8356,1421880.288,1,10466,9871,9555,10164,14651,17420,13276,5250
763281.7732,1420946.163,1,10380,9746,9294,9661,14331,15625,11663,5219
765745.0474,1422686.451,1,10384,9729,9290,9660,13834,15704,12463,5265
776909.7579,1416953.74,1,10501,9831,9310,9512,14590,15442,11447,5271
776986.5353,1415699.709,1,10486,9818,9431,9736,14858,15739,12102,5268
776141.9841,1413268.426,1,10453,9810,9526,9979,14445,15659,12173,5273
767670.88,1415392.6,1,10396,9719,9276,9437,14829,14151,10574,5273
769692.6843,1423403.04,1,10359,9624,9090,9214,14189,14037,10589,5294
775396.6037,1412068.779,1,10460,9772,9421,9726,15050,15241,11928,5249
769657.4947,1417580.755,1,10384,9698,9244,9676,14366,15693,12184,5322
803247.5978,1427081.956,1,10280,9705,9637,10489,15069,17420,13163,5138
800278.8725,1421093.32,1,10449,9928,9904,11179,15194,17203,14236,5128
798576.9739,1421054.931,1,10286,9673,9378,10081,14349,15862,12461,5133
799664.6535,1424317.97,1,10212,9637,9443,10118,14787,15777,12186,5161
798205.8833,1423294.272,1,10263,9706,9491,10133,15126,17002,13253,5141
798359.438,1422692.849,1,9982,9292,8730,8798,13514,13441,9893,5136
800969.8689,1422846.404,1,10343,9750,9559,10020,14428,14566,12022,5134
794891.6598,1425021.763,1,10107,9500,9271,9543,15122,15505,11851,5149
810122.3722,1430751.275,1,9919,9214,9015,8846,16361,14294,10306,5113
812195.3615,1431723.788,1,9942,9263,8892,9222,14495,13437,10337,5134
809751.2816,1428179.232,1,10019,9352,9202,9325,16102,14331,10702,5116
804831.1312,1436669.531,1,10288,9713,9469,10007,14770,16570,12824,5154
774339.3152,1440014.145,1,11516,11099,10754,11227,13187,13708,12513,5248
780275.1663,1442822.918,1,10504,9872,9619,10164,13101,14060,11527,5211
779046.7283,1447122.451,1,10424,9804,9429,9842,14354,15182,11913,5179
775866.8652,1446943.304,1,10664,10090,10526,13060,16056,21525,16680,5178
791139.1654,1455107.298,1,10297,9637,9448,9928,14143,15610,12494,5124
794306.2323,1455286.446,1,10154,9471,9078,9190,14080,13324,9995,5111
800985.8642,1427403.461,1,10000,9330,8950,9215,14445,14284,10783,5139
797019.033,1427646.589,1,10235,9660,9709,11311,15200,18507,15131,5209
795205.1674,1452656.82,1,10315,9859,9767,10844,15619,18411,14047,5138
804428.05,1442829.316,1,10182,9593,9495,10628,15191,17299,12852,5119
780319.9531,1455395.214,1,10366,9697,9253,9456,13842,13553,10343,5191
787153.1398,1455548.768,1,10160,9504,9031,9641,13143,15125,11492,5142
786660.485,1453888.457,1,10586,10013,9976,10623,15570,17125,12837,5181
786378.9679,1453299.831,1,10577,10062,10046,10931,14478,15192,11953,5172
764730.9462,1432982.617,1,10456,9887,9870,11155,14138,18672,14487,5153
766656.7788,1433712.002,1,10655,10100,10640,12397,16075,21024,16683,5173
766272.8919,1431997.307,1,10244,9512,9098,9458,14171,13655,10626,5183
765172.4162,1429809.152,1,10414,9768,9578,10456,14338,16949,13322,5225
795534.6703,1430231.428,1,10187,9541,9281,9231,15031,13734,10280,5178
795137.9872,1430384.982,1,10293,9708,9485,10072,14978,16133,12160,5183
794133.4831,1430701.689,1,10153,9468,9073,9426,14636,14172,11122,5161
777856.6789,1436232.859,1,11169,10581,10119,10886,12609,16932,14896,5240
782280.9753,1436757.505,1,10871,10371,10738,12604,15531,18500,16327,5224
795304.3382,1449486.554,1,10031,9391,9057,9484,14353,15133,11264,5118
792425.1865,1449153.852,1,10361,9811,9781,10884,15128,17037,13486,5108
798145.1012,1450267.124,1,10238,9702,9498,10045,14711,17069,13448,5123
776628.2408,1429210.928,2,11415,10885,10436,10392,11638,11361,10539,5243
782604.0801,1429965.906,2,11297,10749,10313,10345,11259,11392,10756,5242
780850.9967,1427406.66,2,11384,10901,10439,10566,12071,11779,10757,5255
785339.2742,1427086.754,2,11432,10917,10527,10551,11868,11302,10288,5228
786983.5898,1432921.835,2,11133,10762,10067,10129,12177,11297,10649,5217
790656.1077,1431597.425,2,11549,11200,11825,12795,16365,17242,13811,5196
790444.9699,1430720.883,2,11114,10612,10368,10444,11490,11338,10347,5208
791347.1041,1429812.351,2,11514,10992,10388,10429,11872,10505,9238,5179
791775.7778,1435295.536,2,11025,10536,10171,10322,12356,12268,11175,5147
791353.5022,1440573.98,2,11020,10508,10257,10474,12550,13142,11647,5137
793592.8424,1439319.95,2,11008,10544,10158,10341,12007,11765,10823,5153
793503.2688,1438321.844,2,10953,10442,10174,10333,11853,12087,11017,5129
786260.6028,1439652.652,2,11473,11027,10782,11048,12413,12905,12157,5182
789485.2527,1440612.369,2,11204,10713,10556,10774,12292,12085,11190,5207
782971.9717,1439780.614,2,11386,10943,10687,11104,12546,13191,12155,5216
784098.04,1442058.343,2,11438,10973,10756,11089,12491,12670,11697,5203
781692.3488,1441776.826,2,11211,10625,10291,10333,12100,12045,11095,5184
795601.8505,1448027.784,2,11353,10986,11096,11966,14989,16662,12720,5112
798020.3379,1446159.535,2,11156,10802,10880,11286,14771,13340,11404,5126
778646.8461,1453619.737,2,11969,12063,11259,12145,15357,17682,16225,5185
776573.8569,1447720.675,2,10742,10197,10106,10439,13757,14859,12462,5220
785300.8856,1425416.846,2,11465,10999,10879,10910,13384,12554,10784,5229
788103.2599,1423497.412,2,11069,10655,10797,11481,14324,14809,13328,5177
789203.7356,1426248.601,2,11004,10581,11027,11824,16669,17959,13636,5179
785876.7159,1428014.481,2,11632,11172,10834,10995,12063,12113,11238,5230
789472.4565,1428398.368,2,11271,10945,12021,13786,17620,20932,17159,5167
